ACT Symbol,Company Name
STT,State Street Corporation Common Stock
STV,"China Digital TV Holding Co., Ltd. American Depositary Shares"
STWD,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc."
STZ,"Constellation Brands, Inc. Common Stock"
STZ.B,"Constellation Brands, Inc. Common Stock"
SU,Suncor Energy  Inc. Common Stock
SUI,"Sun Communities, Inc. Common Stock"
SUN,Sunoco LP Common Units representing limited partner interests
SUNE,"SunEdison, Inc. Common Stock"
SUP,"Superior Industries International, Inc. Common Stock"
SVM,Silvercorp Metals Inc Ordinary Shares (Canada)
SVU,SuperValu Inc. Common Stock
SWAY,Starwood Waypoint Residential Trust Common Stock
SWC,Stillwater Mining Company Common Stock ($0.01 Par Value)
SWFT,Swift Transportation Company Class A Common Stock
SWH,"Stanley Black & Decker, Inc. Corp Unit 2013"
SWI,"Solarwinds, Inc. Common Stock"
SWJ,"Stanley Black & Decker, Inc. 5.75% Junior Subordinated Debenture due 2052"
SWK,"Stanley Black & Decker, Inc. Common Stock"
SWM,Schweitzer
SWN,Southwestern Energy Company Common Stock
SWU,"Stanley Black & Decker, Inc Corporate Units"
SWX,Southwest Gas Corporation Common Stock
SWY,Safeway Inc. Common Stock
SWZ,"Swiss Helvetia Fund, Inc. (The) Common Stock"
SXC,"SunCoke Energy, Inc. Common Stock"
SXCP,"SunCoke Energy Partners, L.P. Common Units Representing Limited partner Interests"
SXE,"Southcross Energy Partners, L.P. Common Units representing limited partner interest in the Partnership"
SXI,Standex International Corporation Common Stock
SXL,Sunoco Logistics Partners LP Common Units representing limited partner interests
SXT,Sensient Technologies Corporation Common Stock
SYA,Symetra Financial Corporation Common Stock $0.01 par value
SYF,Synchrony Financial Common Stock
SYK,Stryker Corporation Common Stock
SYT,Syngenta AG Common Stock
SYX,Systemax Inc. Common Stock
SYY,Sysco Corporation Common Stock
SZC,Cushing Renaissance Fund (The) Common Shares of Beneficial Interest
T,AT&T Inc.
TA,TravelCenters of America LLC Common Stock
TAC,TransAlta Corporation Ordinary Shares
TAHO,"Tahoe Resources, Inc. Ordinary Shares (Canada)"
TAI,"Transamerica Income Shares, Inc. Common Stock"
TAL,"TAL International Group, Inc. Common Stock"
TANN,TravelCenters of America LLC 8.25% Senior Notes due 2028
TANO,TravelCenters of America LLC 8.00% Senior Notes due 2029
TAOM,Taomee Holdings Limited American Depositary Shares (each representing 20 ordinary shares)
TAP,Molson Coors Brewing Company Class B Common Stock
TAP.A,Molson Coors Brewing  Company Molson Coors Brewing Company Class A Common Stock
TARO,Taro Pharmaceutical Industries Ltd. Ordinary Shares
TBI,"TrueBlue, Inc. Common Stock"
TC,Thompson Creek Metals Company Inc. Ordinary Shares (Canada)
TCAP,Triangle Capital Corporation Common Stock
TCB,TCF Financial Corporation Common Stock
TCB.W,TCF Financial Corporation TCF Financial Corporation Warrants
TCC,Triangle Capital Corporation 7.00% Senior Notes due 2019
TCCA,Triangle Capital Corporation 6.375% Senior Notes due 2022
TCI,"Transcontinental Realty Investors, Inc. Common Stock"
TCK,Teck Resources Ltd Ordinary Shares
TCO,"Taubman Centers, Inc. Common Stock"
TCP,"TC PipeLines, LP Common Units representing Limited Partner Interests"
TCPI,TCP International Holdings Ltd. Common Shares
TCRX,"THL Credit, Inc. 6.75% Notes due 2021"
TCS,Container Store (The) Common Stock
TD,Toronto Dominion Bank (The) Common Stock
TDA,"Telephone and Data Systems, Inc. 5.875% Senior Notes due 2061"
TDC,Teradata Corporation Common Stock
TDE,"Telephone and Data Systems, Inc. 6.875% Senior Notes due 2059"
TDF,"Templeton Dragon Fund, Inc. Common Stock"
TDG,Transdigm Group Incorporated Transdigm Group Inc. Common Stock
TDI,"Telephone and Data Systems, Inc. Sr Nt"
TDJ,"Telephone and Data Systems, Inc. 7% Senior Notes due 2060"
TDS,"Telephone and Data Systems, Inc. Common Shares"
TDW,Tidewater Inc. Common Stock
TDY,Teledyne Technologies Incorporated Common Stock
TE,"TECO Energy, Inc. Common Stock"
TEF,Telefonica SA Common Stock
TEG,"Integrys Energy Group, Inc. Common Stock"
TEI,"Templeton Emerging Markets Income Fund, Inc. Common Stock"
TEL,TE Connectivity Ltd. New Switzerland Registered Shares
TEN,Tenneco Inc. Common Stock
TEO,Telecom Argentina SA
TEP,"Tallgrass Energy Partners, LP Common Units representing limited partner interests"
TER,"Teradyne, Inc. Common Stock"
TEU,Box Ships Inc. Common Shares
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
TEX,Terex Corporation Common Stock
TFG,"Fixed Income Trust for Goldman Sachs Subordinated Notes, Series 2011"
TFX,Teleflex Incorporated Common Stock
TG,Tredegar Corporation Common Stock
TGH,Textainer Group Holdings Limited Common Shares
TGI,"Triumph Group, Inc. Common Stock"
TGP,Teekay LNG Partners L.P.
TGS,Transportadora de Gas del Sur SA TGS Common Stock
TGT,Target Corporation Common Stock
THC,Tenet Healthcare Corporation Common Stock
THG,Hanover Insurance Group Inc
THGA,"The Hanover Insurance Group, Inc. 6.35% Subordinated Debentures due 2053"
THO,"Thor Industries, Inc. Common Stock"
THQ,Tekla Healthcare Opportunies Fund Shares of Beneficial Interest
THR,"Thermon Group Holdings, Inc. Common Stock"
THS,"Treehouse Foods, Inc. Common Stock"
TI,Telecom Italia S.P.A. New
TI.A,Telecom Italia S.P.A. New
TIF,Tiffany & Co. Common Stock
TIME,Time Inc. Common Stock
TISI,"Team, Inc. Common Stock"
TJX,"TJX Companies, Inc. (The) Common Stock"
TK,Teekay Corporation Common Stock
TKC,Turkcell Iletisim Hizmetleri AS Common Stock
TKF,"Turkish Investment Fund, Inc. (The) Common Stock"
TKR,Timken Company (The) Common Stock
TLI,LMP Corporate Loan Fund Inc Common Stock
TLK,"PT Telekomunikasi Indonesia, Tbk"
TLLP,Tesoro Logistics LP Common Units representing Limited Partner Interests
TLM,Talisman Energy Inc. Common Stock
TLP,Transmontaigne Partners L.P. Transmontaigne Partners L.P. Common Units representing limited partner interests
TLYS,"Tilly's, Inc. Common Stock"
TM,Toyota Motor Corporation Common Stock
TMH,"Team Health Holdings, Inc. Team Health Holdings, Inc."
TMHC,Taylor Morrison Home Corporation Class A Common Stock
TMK,Torchmark Corporation Common Stock
TMO,Thermo Fisher Scientific Inc Common Stock
TMST,Timken Steel Corporation Common Shares
TMUS,T
TNC,Tennant Company Common Stock
TNET,"TriNet Group, Inc. Common Stock"
TNH,"Terra Nitrogen Company, L.P. Common Units"
TNK,Teekay Tankers Ltd.
TNP,Tsakos Energy Navigation Ltd Common Shares
TOL,Toll Brothers Inc. Common Stock
TOO,Teekay Offshore Partners L.P. Common Units representing Limited Partner Interests
TOT,Total S.A.
TOWR,"Tower International, Inc. Common stock"
TPC,Tutor Perini Corporation Common Stock
TPH,"Tri Pointe Homes, Inc. Common Stock"
TPL,Texas Pacific Land Trust Common Stock
TPRE,Third Point Reinsurance Ltd. Common Shares
TPUB,Tribune Publishing Company Common Stock
TPVG,TriplePoint Venture Growth BDC Corp. Common Stock
TPX,"Tempur Sealy International, Inc. Common Stock"
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc Common Stock"
TR,"Tootsie Roll Industries, Inc. Common Stock"
TRC,Tejon Ranch Co Common Stock
TRCO,Tribune Media Company Class A Common Stock
TREC,Trecora Resources Common Stock
TREX,"Trex Company, Inc. Common Stock"
TRF,"Templeton Russia and East European Fund, Inc. Common Stock"
TRGP,"Targa Resources, Inc. Common Stock"
TRI,Thomson Reuters Corp Ordinary Shares
TRK,"Speedway Motorsports, Inc. Common Stock"
TRLA,"Trulia, Inc. Common Stock"
TRMR,"Tremor Video, Inc. Common Stock"
TRN,"Trinity Industries, Inc. Common Stock"
TRNO,Terreno Realty Corporation Common Stock
TROX,Tronox Limited Ordinary Shares Class A $0.01 par
TRP,TransCanada Corporation Common Stock
TRQ,Turquoise Hill Resources Ltd. Ordinary Shares
TRR,"TRC Companies, Inc. Common Stock"
TRUP,"Trupanion, Inc. Common Stock"
TRV,"The Travelers Companies, Inc. Common Stock"
TRW,TRW Automotive Holdings Corporation Common Stock
TS,Tenaris S.A. American Depositary Shares
TSE,Trinseo S.A. Ordinary Shares
TSI,"TCW Strategic Income Fund, Inc. Common Stock"
TSL,Trina Solar Limited Sponsored ADR (Cayman Islands)
TSLF,THL Credit Senior Loan Fund Common Shares of Beneficial Interest
TSLX,"TPG Specialty Lending, Inc. Common Stock"
TSM,Taiwan Semiconductor Manufacturing Company Ltd.
TSN,"Tyson Foods, Inc. Common Stock"
TSNU,"Tyson Foods, Inc. Tangible Equity Unit 1 Prepaid Stock Purchase Contact & 1 Sr (Amortorizing NT)"
TSO,Tesoro Corporation Common Stock
TSQ,"Townsquare Media, Inc. Class A Common Stock"
TSS,"Total System Services, Inc. Common Stock"
TSU,TIM Participacoes S.A. American Depositary Shares (Each representing 5 Common Shares)
TTC,Toro Company (The) Common Stock
TTF,"Thai Fund, Inc. (The) Common Stock"
TTI,"Tetra Technologies, Inc. Common Stock"
TTM,Tata Motors Ltd Tata Motors Limited
TTP,"Tortoise Pipeline & Energy Fund, Inc. Common Stock"
TU,Telus Corporation Ordinary Shares
TUMI,"Tumi Holdings, Inc. Common Stock"
TUP,Tupperware Brands Corporation Common Stock
TV,Grupo Televisa S.A. Common Stock
TVC,Tennessee Valley Authority Common Stock
TVE,Tennessee Valley Authority
TVPT,Travelport Worldwide Limited Common Shares
TW,Towers Watson & Co Common Stock Class A
TWC,Time Warner Cable Inc Common Stock
TWI,"Titan International, Inc. Common Stock"
TWN,"Taiwan Fund, Inc. (The) Common Stock"
TWO,Two Harbors Investment Corp
TWTR,"Twitter, Inc. Common Stock"
TWX,Time Warner Inc. New Common Stock
TX,"Ternium S.A. Ternium S.A. American Depositary Shares (each representing ten shares, USD1.00 par value)"
TXT,Textron Inc. Common Stock
TXTR,Textura Corporation Common Stock
TY,Tri Continental Corporation Common Stock
TYC,Tyco International plc (Ireland) Ordinary Share
TYG,Tortoise Energy Infrastructure Corporation Common Stock
TYL,"Tyler Technologies, Inc. Common Stock"
TZF,"Bear Stearns Depositor, Inc. Pfd Stk TRUCs Srs 2001"
UA,"Under Armour, Inc. Class A Common Stock"
UAL,United Continental Holdings
UAM,Universal American Corporation New Common Stock
UAN,"CVR Partners, LP Common Units representing Limited Partner Interests"
UBA,Urstadt Biddle Properties Inc. Common Stock
UBP,Urstadt Biddle Properties Inc. Common Stock
UBS,UBS Group AG Registered Ordinary Shares
UCP,"UCP, Inc. Class A Common Stock"
UDR,"UDR, Inc. Common Stock"
UE.V,Urban Edge Properties Common Shares of Beneficial Interest When Issued
UFI,"Unifi, Inc. New Common Stock"
UFS,Domtar Corporation (NEW) Common Stock
UGI,UGI Corporation Common Stock
UGP,Ultrapar Participacoes S.A. (New) American Depositary Shares (Each representing one Common Share)
UHS,"Universal Health Services, Inc. Common Stock"
UHT,Universal Health Realty Income Trust Common Stock
UIL,UIL Holdings Corporation Common Stock
UIS,Unisys Corporation New Common Stock
UL,Unilever PLC Common Stock
UMC,United Microelectronics Corporation (NEW) Common Stock
UMH,"UMH Properties, Inc. Common Stock"
UN,Unilever NV Common Stock
UNF,Unifirst Corporation Common Stock
UNH,UnitedHealth Group Incorporated Common Stock
UNM,Unum Group Common Stock
UNP,Union Pacific Corporation Common Stock
UNT,Unit Corporation Common Stock
UPL,Ultra Petroleum Corp. Common Stock
UPS,"United Parcel Service, Inc. Common Stock"
URI,"United Rentals, Inc. Common Stock"
USA,Liberty All
USAC,"USA Compression Partners, LP Common Units Representing Limited Partner Interests"
USB,U.S. Bancorp Common Stock
USDP,USD Partners LP Common Units representing limited partner interest
USG,USG Corporation Common Stock
USM,United States Cellular Corporation Common Stock
USNA,"USANA Health Sciences, Inc. Common Stock"
USPH,"U.S. Physical Therapy, Inc. Common Stock"
UTF,"Cohen & Steers Infrastructure Fund, Inc Common Stock"
UTI,Universal Technical Institute Inc Common Stock
UTL,UNITIL Corporation Common Stock
UTX,United Technologies Corporation Common Stock
UVE,UNIVERSAL INSURANCE HOLDINGS INC Common Stock
UVV,Universal Corporation Common Stock
UZA,United States Cellular Corporation 6.95% Senior Notes due 2060
UZB,United States Cellular Corporation 7.25% Senior Notes due 2063
V,Visa Inc.
VAC,Marriot Vacations Worldwide Corporation Common Stock
VAL,Valspar Corporation (The) Common Stock
VALE,VALE S.A.  American Depositary Shares Each Representing one common share
VALE.P,VALE S.A.
VAR,"Varian Medical Systems, Inc. Common Stock"
VBF,Invesco Bond Fund Common Stock
VC,Visteon Corporation Common Stock
VCO,Vina Concha Y Toro Common Stock
VCRA,"Vocera Communications, Inc. Common Stock"
VCV,Invesco California Value Municipal Income Trust Common Stock
VEC,"Vectrus, Inc. Common Stock"
VEEV,Veeva Systems Inc. Class A Common Stock
VET,Vermilion Energy Inc. Common (Canada)
VFC,V.F. Corporation Common Stock
VG,Vonage Holdings Corp. Common Stock
VGI,Virtus Global Multi
VGM,Invesco Trust for Investment Grade Municipals Common Stock (DE)
VGR,Vector Group Ltd. Common Stock
VHI,"Valhi, Inc. Common Stock"
VIPS,"Vipshop Holdings Limited American Depositary Shares, each representing two ordinary shares"
VIV,"Telefonica Brasil, S.A. ADS"
VJET,"voxeljet AG American Depositary Shares, each representing one"
VKQ,Invesco Municipal Trust Common Stock
VLO,Valero Energy Corporation Common Stock
VLP,Valero Energy Partners LP Common Units representing limited partner interests
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V. American Depositary Shares, each representing ten (10) Ordinary Participation Certificates"
VLT,Invesco High Income Trust II
VLY,Valley National Bancorp Common Stock
VLY.W,Valley National Bancorp Warrants Expiring 11/14/2018
VMC,Vulcan Materials Company (Holding Company) Common Stock
VMEM,"Violin Memory, Inc. Common Stock"
VMI,"Valmont Industries, Inc. Common Stock"
VMO,Invesco Municipal Opportunity Trust Common Stock
VMW,"Vmware, Inc. Common stock, Class A"
VNCE,Vince Holding Corp. Common Stock
VNO,Vornado Realty Trust Common Stock
VNO.V,Vornado Realty Trust Common Shares of Beneficial Interest Ex
VNTV,"Vantiv, Inc. Class A Common Stock"
VOC,VOC Energy Trust Units of Beneficial Interest
VOYA,"Voya Financial, Inc. Common Stock"
VPG,"Vishay Precision Group, Inc. Common Stock"
VPV,Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE)
VR,"Validus Holdings, Ltd. Common Shares"
VRS,Verso Corporation Common Stock
VRTV,Veritiv Corporation Common Stock
VRX,"Valeant Pharmaceuticals International, Inc."
VSH,"Vishay Intertechnology, Inc. Common Stock"
VSI,"Vitamin Shoppe, Inc Common Stock"
VSLR,"Vivint Solar, Inc. Common Stock"
VTA,Invesco Credit Opportunities Fund Common Shares of Beneficial Interest
VTN,Invesco Trust for Investment Grade New York Municipals Common Stock
VTR,"Ventas, Inc. Common Stock"
VTRB,"Ventas Realty, Limited Partnership // Ventas Capital Corporation 5.45% Senior Notes due 2043"
VTTI,VTTI Energy Partners LP Common Units representing limited partner interests
VVC,Vectren Corporation Common Stock
VVI,Viad Corp Common Stock
VVR,Invesco Senior Income Trust Common Stock (DE)
VZ,Verizon Communications Inc. Common Stock
VZA,Verizon Communications Inc. 5.90% Notes due 2054
W,Wayfair Inc. Class A Common Stock
WAB,Westinghouse Air Brake Technologies Corporation Common Stock
WAC,Walter Investment Management Corp. Common Stock
WAGE,"WageWorks, Inc. Common Stock $0.001 par value"
WAIR,"Wesco Aircraft Holdings, Inc. Common Stock"
WAL,Western Alliance Bancorporation Common Stock (DE)
WAT,Waters Corporation Common Stock
WBAI,"500.com Limited American Depositary Shares, each representing 10 Class A shares"
WBC,Wabco Holdings Inc. Common Stock
WBK,Westpac Banking Corporation Common Stock
WBS,Webster Financial Corporation Common Stock
WBS.W,"Webster Financial Corporation Warrant (expiring November 21, 2018)"
WCC,"WESCO International, Inc. Common Stock"
WCG,"Wellcare Health Plans, Inc. Common Stock"
WCIC,"WCI Communities, Inc. Common Stock"
WCN,"Waste Connections, Inc. Common Stock"
WD,"Walker & Dunlop, Inc Common Stock"
WDAY,"Workday, Inc. Common Stock"
WDR,"Waddell & Reed Financial, Inc. Common Stock"
WEA,Western Asset Bond Fund Share of Beneficial Interest
WEC,Wisconsin Energy Corporation Common Stock
WES,"Western Gas Partners, LP Limited Partner Interests"
WEX,WEX Inc. common stock
WF,Woori Bank American Depositary Shares (Each representing 3 shares of Common Stock)
WFC,Wells Fargo & Company Common Stock
WFC.W,"Wells Fargo & Company Warrants expiring October 28, 2018"
WFT,Weatherford International plc (Ireland)
WG,"Willbros Group, Inc. (DE) Common Stock"
WGL,WGL Holdings IncCommon Stock
WGO,"Winnebago Industries, Inc. Common Stock"
WGP,"Western Gas Equity Partners, LP Common Units Representing Limited Partner Interests"
WHG,Westwood Holdings Group Inc Common Stock
WHR,Whirlpool Corporation Common Stock
WHX,Whiting USA Trust I Whiting USA Trust I
WHZ,Whiting USA Trust II Units of Beneficial Interest
WIA,Western Asset/Claymore Inflation
WIT,Wipro Limited Common Stock
WIW,Western Asset/Claymore Inflation
WK,Workiva Inc. Class A Common Stock
WLH,Lyon William Homes Common Stock (Class A)
WLK,Westlake Chemical Corporation Common Stock
WLKP,Westlake Chemical Partners LP Common Units representing limited partner interests
WLL,Whiting Petroleum Corporation Common Stock
WLT,"Walter Energy, Inc. Common Stock"
WM,"Waste Management, Inc. Common Stock"
WMB,"Williams Companies, Inc. (The) Common Stock"
WMC,Western Asset Mortgage Capital Corporation Common Stock
WMK,"Weis Markets, Inc. Common Stock"
WMLP,"Westmoreland Resource Partners, LP Common Units representing Limited Partner Interests"
WMS,"Advanced Drainage Systems, Inc. Common Stock"
WMT,Wal
WNC,Wabash National Corporation Common Stock
WNR,"Western Refining Inc. Western Refining, Inc. Common Stock"
WNRL,"Western Refining Logistics, LP Common Units representing limited partner interests"
WNS,WNS (Holdings) Limited Sponsored ADR (Jersey)
WOR,"Worthington Industries, Inc. Common Stock"
WPC,W.P. Carey Inc. REIT
WPG,Washington Prime Group Inc. Common Stock
WPP,Wausau Paper Corp. Common Stock
WPT,"World Point Terminals, LP Common Units representing Limited Partner Interests"
WPX,"WPX Energy, Inc. Common Stock"
WPZ,Williams Partners L.P. Common Units
WR,"Westar Energy, Inc. Common Stock"
WRB,W.R. Berkley Corporation Common Stock
WRE,Washington Real Estate Investment Trust Common Stock
WRI,Weingarten Realty Investors Common Stock
WRT,Winthrop Realty Trust 7.75% Senior Notes due 2022
WSH,Willis Group Holdings Public Limited (Ireland) Common Stock
WSM,Williams
WSO,"Watsco, Inc. Common Stock"
WSO.B,"Watsco, Inc. Class B Common Stock"
WSR,Whitestone REIT Common Shares
WST,"West Pharmaceutical Services, Inc. Common Stock"
WTI,"W&T Offshore, Inc. Common Stock"
WTM,"White Mountains Insurance Group, Ltd. Common Stock"
WTR,"Aqua America, Inc. Common Stock"
WTS,"Watts Water Technologies, Inc. Class A Common Stock"
WTW,Weight Watchers International Inc Weight Watchers International Inc
WU,Western Union Company (The) Common Stock
WUBA,"58.com Inc. American Depositary Shares, each representing 2 Class A Ordinary Shares"
WWAV,Whitewave Foods Company (The) Common Stock
WWE,"World Wrestling Entertainment, Inc. Class A Common Stock"
WWW,"Wolverine World Wide, Inc. Common Stock"
WX,WuXi PharmaTech (Cayman) Inc. American Depositary Shares
WY,Weyerhaeuser Company Common Stock
WYN,Wyndham Worldwide Corp Common  Stock
X,United States Steel Corporation Common Stock
XCO,"EXCO Resources, Inc. Exco Resources, Inc. Common Stock"
XEC,Cimarex Energy Co Common Stock
XEL,Xcel Energy Inc. Common Stock
XIN,Xinyuan Real Estate Co Ltd American Depositary Shares
XKE,Lehman ABS Corporation Corporate
XL,XL Group plc
XLS,Exelis Inc. Common Stock New
XNY,"China Xiniya Fashion Limited American Depositary Shares, each representing four ordinary shares"
XOM,Exxon Mobil Corporation Common Stock
XON,Intrexon Corporation Common Stock
XOXO,"XO Group, Inc. Common Stock"
XPO,"XPO Logistics, Inc."
XRM,"Xerium Technologies, Inc. New Common Stock"
XRS,"TAL Education Group American Depositary Shares, each representing 2 Class A common shares"
XRX,Xerox Corporation Common Stock
XUE,"Xueda Education Group American Depositary Shares, each representing two Ordinary Shares, $0.0001 par value"
XYL,Xylem Inc. Common Stock New
Y,Alleghany Corporation Common Stock
YDKN,Yadkin Financial Corporation Common Stock
YELP,Yelp Inc. Class A Common Stock
YGE,Yingli Green Energy Holding Company Limited ADR
YOKU,"Youku Tudou Inc. American Depositary Shares, each representing 18 Class A ordinary shares."
YPF,YPF Sociedad Anonima Common Stock
YUM,"Yum! Brands, Inc."
YUME,"YuMe, Inc. Common Stock"
YZC,Yanzhou Coal Mining Company Limited Common Stock
ZA,Zuoan Fashion Limited American Depositary Shares
ZAYO,"Zayo Group Holdings, Inc. Common Stock"
ZBK,Zions Bancorporation 6.95% Fixed
ZEN,"Zendesk, Inc. Common Stock"
ZEP,Zep Inc. Common Stock
ZF,"Zweig Fund, Inc. (The) Common Stock"
ZFC,ZAIS Financial Corp. Common Stock
ZMH,"Zimmer Holdings, Inc. Common Stock"
ZNH,China Southern Airlines Company Limited Common Stock
ZOES,"Zoe's Kitchen, Inc. Common Stock"
ZPIN,"Zhaopin Limited American Depositary Shares, each reprenting two Ordinary Shares"
ZQK,"Quiksilver, Inc. Common Stock"
ZTR,"Zweig Total Return Fund, Inc. (The) Common Stock"
ZTS,Zoetis Inc. Class A Common Stock
ZX,"China Zenix Auto International Limited American Depositary Shares, each representing four ordinary shares."
